conceptUri,preferredLabel,description
http://data.europa.eu/esco/skill/05010f6c-0b40-4525-ac4a-057d46a2b6f4,design electrical systems,"Draft sketches and design electrical systems, products, and components using Computer Aided Design (CAD) software and equipment. Draw panel arrangement layouts, electrical schematics, electrical wiring diagrams, and other assembly details."
http://data.europa.eu/esco/skill/0520d8ba-3c24-4f75-a8b0-f883ddeed82d,audit contractors,"Examine and document different industry contractors, in order to determine whether they comply with regulations and standards in relation to safety, environment and quality of design, construction and testing, etc."
http://data.europa.eu/esco/skill/054f26ab-cfdc-4077-883c-1c4c9e9b310a,define firewall rules,Specify rules to govern a set of components aiming to limit access between groups of networks or a particular network and the internet.
http://data.europa.eu/esco/skill/05580192-9610-4bbf-9dd7-f09fe4cae28a,carry out quality control in microbiology laboratories,"Perform quality assurance testing of media, reagents, laboratory instrumentation and other materials used in microbiology laboratory."
http://data.europa.eu/esco/skill/05a7f9e0-1ebd-4853-890b-c78f37096d51,provide humanitarian aid,"Provide first-hand aid in dangerous or critical areas to the civilian population, such as handing out food and water, medical resources, setting up aid facilities, evacuation procedures, and ensuring the area's security."
http://data.europa.eu/esco/skill/05b70efb-6b80-4f04-9a25-67cd317daf37,CryEngine,"The game engine CryEngine which is a software framework that consists of integrated development environments and specialised design tools, designed for the rapid iteration of user-derived computer games."
http://data.europa.eu/esco/skill/05bd9f18-370a-4a88-98c7-473cffb7b2ca,produce materials for decision making,"Compile relevant data, write reports and occasionally prepare presentations to communicate information that will help the business management team to take decisions."
http://data.europa.eu/esco/skill/05c1cd3e-ab52-4017-af59-7ce74cd23e82,inspect airfield facilities,"Direct and participate in the inspection of airfield facilities, including grounds, runways, fencing, taxiways, aircraft aprons, gate assignments, and service roadways, to assure safety, security, and efficiency of operations and expeditious flow of aircraft in compliance with Federal Aviation Administration (FAA) and European Aviation Safety Agency (EASA) regulations."
http://data.europa.eu/esco/skill/062320e5-79d1-45e8-8b7e-5deeb53279a2,perform online data analysis,"Analyse online experiences and online data for purposes of understanding user behaviour, triggers of online attention, and other factors that could optimise webpage development and exposure."
http://data.europa.eu/esco/skill/06358891-8424-43c5-891e-d40f226bef40,manage IT security compliances,"Guide application and fulfilment of relevant industry standards, best practices and legal requirements for information security."
http://data.europa.eu/esco/skill/065ec709-e0f4-407f-91fe-9feab66942be,design sprinkler systems,"Design sprinkler systems. Take into account issues of water conservation, existing and proposed landscaping features, and time sequencing of existing systems."
http://data.europa.eu/esco/skill/06670261-ea6b-4b52-a915-c7d4ff837f74,identify statistical patterns,Analyse statistical data in order to find patterns and trends in the data or between variables.
http://data.europa.eu/esco/skill/06f33d6a-f7a7-4a2b-baa5-8c3c53bd1a9c,keywords in digital content,The digital tools to conduct keyword research. The information retrieval systems identify the content of a document guided by keywords and metadata.
http://data.europa.eu/esco/skill/071233c4-ad2b-4f50-b79f-768d2231163e,domain name service,Naming database which maps internet domain names to Internet Protocol (IP) addresses. The Domain Name System allows internet users to utilise names such as website titles instead of remembering numeric IP addresses used by computers to locate a concrete website.
http://data.europa.eu/esco/skill/071a4197-06b3-4226-b9a1-efd15913280a,model medical devices,Model and simulate medical devices using technical design software.
http://data.europa.eu/esco/skill/0764b28d-04ee-4e80-bf58-b737f02a63e0,captioning software,"The various software to create captions and subtitles in a file that is merged with the actual footage, such as Telestream and MovieCaptioners."
http://data.europa.eu/esco/skill/07889c08-7220-47c8-96f7-6068fbea00dc,normalise data,"Reduce data to their accurate core form (normal forms) in order to achieve such results as minimisation of dependency, elimination of redundancy, increase of consistency."
http://data.europa.eu/esco/skill/07e47d58-dd0e-4302-9e68-70a188e89065,apply system organisational policies,"Implement internal policies related to the development, internal and external usage of technological systems, such as software systems, network systems and telecommunications systems, in order to achieve a set of goals and targets regarding the efficient operations and growth of an organisation."
http://data.europa.eu/esco/skill/07ebc888-0f3f-46e7-99d2-a7c7ebd7ffe3,property management software,"The features and functioning of a software that enables the management of daily operations in real estate and accommodation businesses, to optimise resources and processes such as booking reservations, room rates, revenue data analytics or billing."
http://data.europa.eu/esco/skill/07ec6866-d283-46a6-991c-e8ce0c6fc159,interpret scientific data to assess water quality,Analyse and interpret data like biological properties to know the quality of water.
http://data.europa.eu/esco/skill/0868eef3-2213-4572-9343-74931345a7d3,administer ICT system,"Handle components of ICT system by maintaining configuration, managing users, monitoring resource use, performing backups and installing hardware or software to comply with the set requirements."
http://data.europa.eu/esco/skill/08a3dcea-12de-447b-a3a5-aa657abc5e97,execute social engineering tests,"Perform simulated social engineering attacks to identify vulnerabilities in an organization's security posture. Social engineering tests may involve phishing emails, pretexting, or other forms of manipulation used by attackers to obtain sensitive information or unauthorized access to systems."
http://data.europa.eu/esco/skill/08b04e53-ed25-41a2-9f90-0b9cd939ba3d,manage research data,Produce and analyse scientific data originating from qualitative and quantitative research methods. Store and maintain the data in research databases. Support the re-use of scientific data and be familiar with open data management principles.
http://data.europa.eu/esco/skill/08ee68b2-0a6d-4bdf-a870-a36c0dc8064e,produce statistical financial records,Review and analyse individual and company financial data in order to produce statistical reports or records.
http://data.europa.eu/esco/skill/09638218-695c-44c7-bac3-26b45a2ae418,conduct patch testing,"Apply patch testing in order to determine allergic causes of dermatitis or eczema, or other skin conditions."
http://data.europa.eu/esco/skill/097c6a36-f031-4d3e-b5c1-62d6ffcb430b,respect data protection principles,Ensure that access to personal or institutional data conforms to the legal and ethical framework governing such access.
http://data.europa.eu/esco/skill/09cf2c34-6f93-4a19-a9f1-c0d866414bcc,Cain and Abel (penetration testing tool),"The software tool Cain and Abel is a password recovery tool which tests the Microsoft Operating System for security weaknesses and potentially unauthorised access to system information. The tool decodes, decrypts and uncovers passwords by means such as brute-force and cryptanalysis attacks, network sniffing and protocols analysis."
http://data.europa.eu/esco/skill/09f07c6a-866b-4587-a771-45b0cd613540,execute advertising for vehicles,Contribute to vehicle promotion using various media e.g. websites or newspapers.
http://data.europa.eu/esco/skill/09f2f811-a3fb-4de3-a70f-6420a6935575,systems development life-cycle,"The sequence of steps, such as planning, creating, testing and deploying and the models for the development and life-cycle management of a system."
http://data.europa.eu/esco/skill/09f4c52b-ac72-4f0e-a8ae-78bb1d7bffba,transportation software related to an ERP system,"Business management software to collect, manage and interpret data related to shipping, payment, inventory, manufacturing applied in transportation and distribution."
http://data.europa.eu/esco/skill/0a0532c2-ee60-4410-8e07-70e4d69370ec,operate automated process control,Operate process control or automation system (PAS) used to control a production process automatically.
http://data.europa.eu/esco/skill/0a1e6554-1c6b-42c6-970b-8d9a307cdb5e,write Javanese,Compose written texts in Javanese.
http://data.europa.eu/esco/skill/0a30e5a8-60a8-4fda-9f89-8e9cee38da5a,use interface description language,Utilise specification language for describing interface connection among software components or programs in a programming-language-independent way. The languages which support this method are among others CORBA and WSDL.
http://data.europa.eu/esco/skill/0a52bed5-fd29-45fb-aba6-e32bccfda1c1,plan migration to cloud,"Select existing workloads and processes for potential migration to the cloud and choose migration tools. Determine a new cloud architecture for an existing solution, plan a strategy for migrating existing workloads to the cloud."
http://data.europa.eu/esco/skill/0a74ff59-62a8-4942-9063-10fea819e19a,monitor security procedures in warehouse operations,Supervise and enforce procedures for security purposes in warehouse operations.
http://data.europa.eu/esco/skill/0a9acb6b-1139-4be9-b431-3a80a959f2f4,Agile project management,"The agile project management approach is a methodology for planning, managing and overseeing of ICT resources in order to meet specific goals and using project management ICT tools."
http://data.europa.eu/esco/skill/0ab03c6c-281b-48f4-83e0-10eeb27a1bae,network management system tools,"The software or hardware tools which enable monitoring, analysis and supervision of individual network components or network parts within a larger network system."
http://data.europa.eu/esco/skill/0af529ff-a95d-419b-ab2a-335f6894a966,maintain logistics databases,Maintain databases accessible to users in the logistics and storage sub-sector.
http://data.europa.eu/esco/skill/0b4f100c-813d-4eec-8aa5-4227bb98c635,ship related legislative requirements,"Conventions of the International Maritime Organization (IMO) concerning safety of life at sea, security and protection of the marine environment."
http://data.europa.eu/esco/skill/0b8f2fb9-59b0-43f7-8ad1-6cb952386255,conduct safe aircraft marshalling,"Conduct safe marshalling of aircraft, adhere to apron markings and ensure accurate completion of associated paperwork or database entries."
http://data.europa.eu/esco/skill/0b917c3e-e49f-40d9-8f95-3bc8e9c06fd2,perform laboratory tests,Carry out tests in a laboratory to produce reliable and precise data to support scientific research and product testing.
http://data.europa.eu/esco/skill/0bf01698-0eaa-4892-ad67-7bcfea0bef92,observe patient throughout dental treatment,"Monitor patient's behavior during the provided dental treatment, so as to react rapidly in cases of negative reactions, under the supervision of the dental practitioner."
http://data.europa.eu/esco/skill/0c0a8629-97b7-412f-ad91-be97d80205af,perform pre-assembly quality checks,"Inspect product parts for faults or damages, using testing equipment if necessary, and check that the received lot is complete before assembling the finished products."
http://data.europa.eu/esco/skill/0c1bbbd7-7827-4594-9254-a4b91cb8163f,conduct financial surveys,"Conduct the procedures of a financial survey from the initial formulation and compilation of the questions, identifying the target audience, managing the survey method and operations, managing the processing of acquired data, to analysing the results."
http://data.europa.eu/esco/skill/0c521914-1ba6-4f92-8fce-b6b97f3f8edb,develop calibration procedures,Develop test procedures for instrument performance testing.
http://data.europa.eu/esco/skill/0c52f41b-4e95-4a3c-9d47-0c71e61cf82a,analyse transmitted communications,"Monitor and analyse data, waveforms, measurements, images or transmitted communications and emissions and identify electrical anomalies."
http://data.europa.eu/esco/skill/0c627853-241e-405b-9044-aaff6bca133e,install power lines,"Install cables and networks for electricity distribution on the street, in the fields and in buildings, and put them into operation."
http://data.europa.eu/esco/skill/0c66036a-3bdd-4955-8343-985f4697af64,manage donor database,Create and constantly update the database containing personal details and status of donors.
http://data.europa.eu/esco/skill/0c671e20-7a3b-442a-977a-3a085baaf338,identify emerging issues in humanitarian area,"Recognize arising problems and trends in a proactive way on a national, regional or international level in order to respond rapidly."
http://data.europa.eu/esco/skill/0c766ca3-9364-4203-916b-fed16e4814c1,gather data for forensic purposes,"Collect protected, fragmented or corrupted data and other online communication. Document and present findings from this process."
http://data.europa.eu/esco/skill/0c77bcd5-b94a-475d-98e9-5a4327e4d726,statistical process control,Method of quality control that uses statistics to monitor processes.
http://data.europa.eu/esco/skill/0c8c1e58-1c48-4efc-9359-9a28f803c52d,undertake clinical audit,"Undertake internal clinical audit through the collection of statistical, financial and other data related to service delivery."
http://data.europa.eu/esco/skill/0c9f20cb-32fb-4ff7-877e-508762791151,RAGE (digital game creation systems),"The software framework that consists of integrated development environments and specialised design tools, designed for the rapid iteration of user-derived computer games."
http://data.europa.eu/esco/skill/0ccdfe98-f845-4598-84a1-3dca66e9d9a3,Ruby (computer programming),"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Ruby."
http://data.europa.eu/esco/skill/0cd6dcf1-5778-42a5-b685-4d01ae4a4871,Common Lisp,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Common Lisp."
http://data.europa.eu/esco/skill/0cd8d49e-fcb2-4095-a946-1179516e4a0b,develop communication networks with shipping sites,Establish relationships with shipping sites to facilitate the delivery of goods.
http://data.europa.eu/esco/skill/0ce96a86-7a28-4c44-9e59-591375310894,collect weather-related data,"Gather data from satellites, radars, remote sensors, and weather stations in order to obtain information about weather conditions and phenomena."
http://data.europa.eu/esco/skill/0ced619a-0f59-4802-88ea-e97bf1b57f95,optimise fleet usability,"Optimise fleet utilisation, visibility, efficiency and profitability through the use of special ship management software."
http://data.europa.eu/esco/skill/0d168770-4d9c-4096-b048-a6577818d306,Apache Maven,"The tool Apache Maven is a software program to perform configuration identification, control, status accounting and audit of software during its development and maintenance."
http://data.europa.eu/esco/skill/0d6714c6-720e-4985-9791-5ab85d28da79,gather data,Extract exportable data from multiple sources.
http://data.europa.eu/esco/skill/0d6ad185-dc2c-46e7-b7f7-a01681c9fddb,inspect semiconductor components,"Inspect the quality of used materials, check the purity and molecular orientation of the semiconductor crystals, and test the wafers for surface defects using electronic testing equipment, microscopes, chemicals, X-rays, and precision measuring instruments."
http://data.europa.eu/esco/skill/0da6cab1-0ee9-4391-a299-f71fbf21db56,ICT network routing,The processes and techniques for choosing the best paths within an ICT network through which a packet can travel.
http://data.europa.eu/esco/skill/0de61385-de6d-4146-ba32-1cc1bc102220,Lisp,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Lisp."
http://data.europa.eu/esco/skill/0de6bca4-f3aa-452a-8e10-d355b2c1bfc4,develop electronic test procedures,"Develop testing protocols to enable a variety of analyses of electronic systems, products, and components."
http://data.europa.eu/esco/skill/0df2e216-68ae-4952-b9dc-3c2f2bc04fe3,maintain freelance database,Maintain a freelance database that offers extra support to your teams and is able to calculate negotiating costs.
http://data.europa.eu/esco/skill/0e44ceb3-9dd4-4ec4-b1d7-a0e83ddba7d4,automotive engineering,"The discipline of engineering that combines mechanical, electrical, electronic, software and safety engineering to design motor vehicles such as trucks, vans and automobiles."
http://data.europa.eu/esco/skill/0e503b48-5491-4529-879e-b112251f8d50,manage event structure installation,"Plan and monitor the assembly of structures such as stages, connection to the electricity network, lighting and projection equipment. Make sure the employees work according to customer's requirements and safety regulations."
http://data.europa.eu/esco/skill/0e5affa0-705e-4b19-94e8-19e902e0287d,analyse decentralised applications,"Analyse decentralized applications for their specific performance requirements in terms of key functions and properties such as identify management, access control, data security, transparency, performance, scalability, and maintainability."
http://data.europa.eu/esco/skill/0e62eba3-d076-47e5-b22d-340a8faccb3b,assistive technology in education,"Digital devices and equipment that support learners with learning, communication or mobility challenges to access educational resources and achieve their full potential. It includes software such as text to speech and optical character recognition."
http://data.europa.eu/esco/skill/0e667579-d045-4c6a-b0f3-230a61edd014,model power electronics,"Model and simulate power electronics systems, products, and components using technical design software. Assess the viability of the product and examine the physical parameters to ensure a successful production process."
http://data.europa.eu/esco/skill/0e78d9c9-7c3c-4c5c-82cb-205c16edbcb8,green computing,"The use of ICT systems in an environmentally responsible and sustainable manner, such as the implementation of energy-efficient servers and central processing units (CPUs), reduction of resources and correct disposal of e-waste."
http://data.europa.eu/esco/skill/0e8d16c9-e2db-4862-ac06-1567f01ef806,building systems monitoring technology,"Computer-based control systems that monitor mechanical and electrical equipment in a building such as HVAC, security and lighting systems."
http://data.europa.eu/esco/skill/0e9e3a56-3b26-4fa5-91df-6d9bfbea4259,electronic test procedures,"Testing protocols that enable a variety of analyses of electronic systems, products, and components. These tests include the testing of electrical properties, such as voltage, current, resistance, capacitance, and inductance as well as the testing of specific electronic components, such as the electron tubes, semiconductors, integrated circuits, and batteries. These tests include visual inspection, performance tests, environment tests, and safety tests."
http://data.europa.eu/esco/skill/0edaab25-1b72-4531-950d-d8b9a9f4a1c8,treasury management system,The system for managing treasury processes by centralizing cash flow data linked to treasury operations. It involves managing the liquidity as well as money market instruments of an organisation.
http://data.europa.eu/esco/skill/0f00f63f-3ab4-4057-b92f-500584b51757,Informatica PowerCenter,"The computer program Informatica PowerCenter is a tool for integration of information from multiple applications, created and maintained by organisations, into one consistent and transparent data structure, developed by the software company Informatica."
http://data.europa.eu/esco/skill/0f040ee7-075c-4986-9a6c-d20f846d69d6,rail construction engineering,"Thoroughly understand the nature of rail construction engineering; understand safety requirements and related security standards and procedures, to ensure that designs optimise constructability and maintainability."
http://data.europa.eu/esco/skill/0f365cf9-4f68-4a25-affc-75de20bcdc09,conduct analysis of ship data,Collect information from a vessel's management software and cross reference it to analyse the data from different points of view and inform decision-making.
http://data.europa.eu/esco/skill/0f5374e3-0b9b-4b16-af7a-49654ce0bb15,human-robot collaboration,"Human-Robot Collaboration is the study of collaborative processes in which human and robot agents work together to achieve shared goals. Human-Robot Collaboration (HRC) is an interdisciplinary research area comprising classical robotics, human-computer interaction, artificial intelligence, design, cognitive sciences and psychology. It is related to the definition of the plans and the rules for communication to perform a task and achieve a goal in a joint action with a robot."
http://data.europa.eu/esco/skill/0f5b4a1d-33e1-4ef0-8efa-0d0aaa69d3d4,inspect clocks,"Inspect clocks and watches and their components for any defects, deterioration or damage. Check electronic timepieces with measuring and testing instruments."
http://data.europa.eu/esco/skill/0f9098d1-9bcd-453c-a9ec-e8b635705976,woodworking processes,"Steps in the processing of wood for the manufacturing of wooden articles and types of machines used for these processes such as drying, shaping, assembling and surface finishing."
http://data.europa.eu/esco/skill/0f9f8352-0488-4a1e-9171-2c5466c17f41,analyse unemployment rates,Analyse data and perform research concerning unemployment in a region or nation in order to identify causes for unemployment and possible solutions.
http://data.europa.eu/esco/skill/0fb753a1-2ef2-4429-84d2-ecb2b24daf7a,Apache Tomcat,"The open-source web server Apache Tomcat provides a Java web server environment which uses a built in container where HTTP requests are loaded, allowing the Java web applications to run on local and server based systems."
http://data.europa.eu/esco/skill/0fba68dc-6f5d-4974-b3cf-5d3215f7d363,edit negatives,Use different software products and techniques to process photographic negatives and adapt the images to the desired specifications.
http://data.europa.eu/esco/skill/0fbaceff-df05-4ef7-b735-188dc183b56b,carry out job analysis,"Research and perform studies on occupations, analyse and integrate data to identify the content of jobs, meaning the requirements to perform the activities, and deliver the information to business, industry or government officials."
http://data.europa.eu/esco/skill/0ffdb6ac-03b5-4f1c-bfcc-3d9cb874fdf9,ethical hacking principles,The set of actions that are carried out to detect vulnerabilities within a computerised system in order to improve security within an organisation. They aim to identify and address data breaches and threats in a network.
http://data.europa.eu/esco/skill/10026df1-670d-4c75-b3d5-ee0037f9d59b,lead process optimisation,Lead process optimisation using statistical data. Design experiments on the production line and functional process control models.
http://data.europa.eu/esco/skill/1019423b-3368-4f83-b24f-19e5fa23e816,software UI design patterns,The reusable solutions and formalised best practices to solve common user interface tasks in software development and design.
http://data.europa.eu/esco/skill/10c11836-683d-45db-872d-3ec8aee4d37c,manage psychotherapeutic relationships,"Establish, manage and maintain the therapeutic relationship between psychotherapist and patient and client in a safe, respectful and effective way. Establish a working alliance and self-awareness in the relationship. Make sure the patient is aware that his/her interests are a priority and manage out-of-session contact."
http://data.europa.eu/esco/skill/113bbd65-c580-4155-b2d5-9f6d068712e2,install locks,Fit a lock into a compatible door. Install the lock for optimal security.
http://data.europa.eu/esco/skill/11430d93-c835-48ed-8e70-285fa69c9ae6,design cloud architecture,"Design a multi-tier cloud architecture solution, which tolerates faults and is fit for the workload and other business needs. Identify elastic and scalable computing solutions, select high-performing and scalable storage solutions, and choose high-performing database solutions. Identify cost-effective storage, computing, and database services in the cloud."
http://data.europa.eu/esco/skill/114a5cda-0ef1-4065-a064-755260aaa77e,perform forensic examinations,"Perform forensic examinations on a scene or in a laboratory of gathered data, in a manner compliant with forensic procedures, and to analyse the data using forensic methods."
http://data.europa.eu/esco/skill/114c9698-c999-4369-8498-81bf641fe871,establish an ICT security prevention plan,"Define a comprehensive and proactive strategy for managing information and communication technology (ICT) security risks by establishing a set of measures and responsibilities to ensure the confidentiality, integrity and availability of information. Implement policies to prevent data breaches, detect and respond to unauthorised access to systems and resources, including up-to-date security applications and employee education."
http://data.europa.eu/esco/skill/117373c8-f04b-4fff-8683-aebe36edac81,hardware platforms,The characteristics of the hardware configuration required to process the applications software product.
http://data.europa.eu/esco/skill/118a9b27-1c5a-4214-b685-1a4d9e6365ea,computer forensics,The process of examining and recovering digital data from sources for legal evidence and crime investigation.
http://data.europa.eu/esco/skill/11c56452-fcec-4b00-9695-cca4728e5048,marketing analytics,The set of processes for employing data to improve the effectiveness of marketing activities. It involves analysing metrics such as the Return on Investment (ROI) for identify opportunities of improvement.
http://data.europa.eu/esco/skill/11e2378a-ccc0-45a5-993c-23eb65f9e1ce,blood donation,"The procedures related to collecting blood samples from volunteers, the screening testing against disease and the follow-up."
http://data.europa.eu/esco/skill/11eebd42-44ab-401d-8a2c-bdb9fc9beb50,information security strategy,"The plan defined by a company which sets the information security objectives and measures to mitigate risks, define control objectives, establish metrics and benchmarks while complying with legal, internal and contractual requirements."
http://data.europa.eu/esco/skill/120b9b87-3aad-4a42-b5e7-1b146a672038,record survey data,"Gather and process descriptive data by using documents such as sketches, drawings and notes."
http://data.europa.eu/esco/skill/12b7d5a1-1ad4-45dc-b0fa-b31d1eb2c79a,maintain pricing database,Maintain internal and external database to ensure that all pricing data are permanently accurate and up-to-date.
http://data.europa.eu/esco/skill/12c82224-6394-4c3c-9831-2a8198ed1274,optical character recognition software,"The software that electronically converts printed and typed images into machine-encoded text so that documents can be electronically stored, edited and digitally displayed."
http://data.europa.eu/esco/skill/135192cb-84e4-4b70-8946-fbe5041b26cd,learning needs analysis,"The process of analysing a student's learning needs through observation and testing, potentially followed by the diagnosis of a learning disorder and a plan for additional support."
http://data.europa.eu/esco/skill/1368c06f-202d-4776-8153-93aed512cc64,perform contract reporting and evaluation,Perform ex-post assessment of the deliverables and outcomes of a procurement process to assess the strengths and weaknesses and draw lessons for future calls for tender. Collecting relevant data in line with organisational and national reporting obligations.
http://data.europa.eu/esco/skill/138aecdf-1b02-4ffc-81c4-0a0461b4f3c0,conduct metallurgical structural analysis,Perform detailed analysis related to researching and testing new metal products.
http://data.europa.eu/esco/skill/13bdd41a-2a18-441f-96db-41252c519413,Visual Basic,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Visual Basic."
http://data.europa.eu/esco/skill/14029d35-3831-4176-be75-da64e6024e6f,alarm systems,"Security systems in buildings and on properties automatically alarming security companies or producing acoustic or audio-visual signals when break-in, theft or damage of property is detected."
http://data.europa.eu/esco/skill/14062e1c-6540-4cb6-b343-ad419e3d10ac,blockchain components,"The study of essential blockchain components and concepts such as peer networks, smart contracts, memberships, events, ledgers, system integration, wallets, and system management."
http://data.europa.eu/esco/skill/1423df2a-8d84-4c70-874b-2762eda88694,communicate in air traffic services,Ensure the implementation of an efficient communication exchange in air traffic services (ATS) involving airport movement areas. Follow procedures within the network.
http://data.europa.eu/esco/skill/143769cb-b61e-47d8-a61e-eedfbec1016c,business intelligence,The tools used to transform large amounts of raw data into relevant and helpful business information.
http://data.europa.eu/esco/skill/144aba2f-dddd-41bc-b519-0ea6d51bcd6b,promote social security programmes,Promote government programmes dealing with the provision of aid to individuals in order to gain support for the development and implementation of social security programmes.
http://data.europa.eu/esco/skill/147170ba-0141-4337-89af-b4513d745afe,support development of annual budget,Support the development of the annual budget by producing base data as defined by the operations budget process.
http://data.europa.eu/esco/skill/14be22fb-da8d-4521-a153-9b4e0d1c2314,perform tests on airport vehicles,Test the suitability of vehicles following maintenance. Ensure that all security and manufacturer specifications have been met before releasing the vehicles to operations in airports.
http://data.europa.eu/esco/skill/14ced458-5f4b-495f-bd3d-9c240614bda0,Adobe Photoshop,The computer program Adobe Photoshop is a graphical ICT tool which enables digital editing and composition of graphics to generate both 2D raster or 2D vector graphics. It is developed by the software company Adobe.
http://data.europa.eu/esco/skill/14d1e367-3efe-4ec5-86ae-eca48710ee4e,implement ICT security policies,"Implement statements, assertions or rules that specify the appropriate use and protection of the ICT assets and systems from an organisation. These ICT security policies cover topics such as data classification, password management, access control and incident response."
http://data.europa.eu/esco/skill/14fdac88-6d4a-4e47-9df5-02c6d1e86fdd,IBM InfoSphere DataStage,"The computer program IBM InfoSphere DataStage is a tool for integration of information from multiple applications, created and maintained by organisations, into one consistent and transparent data structure, developed by the software company IBM."
